iso3,year,tariff_reporter
IRL,2010,EUN
IRL,2011,EUN
IRL,2012,EUN
IRL,2013,EUN
IRL,2014,EUN
IRL,2015,EUN
IRL,2016,EUN
IRL,2017,EUN
IRL,2018,EUN
IRL,2019,EUN
IRL,2020,EUN
IRL,2021,EUN
ITA,2002,EUN
ITA,2003,EUN
ITA,2004,EUN
ITA,2005,EUN
ITA,2006,EUN
ITA,2007,EUN
ITA,2008,EUN
ITA,2009,EUN
ITA,2010,EUN
ITA,2011,EUN
ITA,2012,EUN
ITA,2013,EUN
ITA,2014,EUN
ITA,2015,EUN
ITA,2016,EUN
ITA,2017,EUN
ITA,2018,EUN
ITA,2019,EUN
ITA,2020,EUN
ITA,2021,EUN
LTU,2002,LTU
LTU,2003,LTU
LTU,2004,EUN
LTU,2005,EUN
LTU,2006,EUN
LTU,2007,EUN
LTU,2008,EUN
LTU,2009,EUN
LTU,2010,EUN
LTU,2011,EUN
LTU,2012,EUN
LTU,2013,EUN
LTU,2014,EUN
LTU,2015,EUN
LTU,2016,EUN
LTU,2017,EUN
LTU,2018,EUN
LTU,2019,EUN
LTU,2020,EUN
LTU,2021,EUN
LUX,2002,EUN
LUX,2003,EUN
LUX,2004,EUN
LUX,2005,EUN
LUX,2006,EUN
LUX,2007,EUN
LUX,2008,EUN
LUX,2009,EUN
LUX,2010,EUN
LUX,2011,EUN
LUX,2012,EUN
LUX,2013,EUN
LUX,2014,EUN
LUX,2015,EUN
LUX,2016,EUN
LUX,2017,EUN
LUX,2018,EUN
LUX,2019,EUN
LUX,2020,EUN
LUX,2021,EUN
LVA,2002,LVA
LVA,2003,LVA
LVA,2004,EUN
LVA,2005,EUN
LVA,2006,EUN
LVA,2007,EUN
LVA,2008,EUN
LVA,2009,EUN
LVA,2010,EUN
LVA,2011,EUN
LVA,2012,EUN
LVA,2013,EUN
LVA,2014,EUN
LVA,2015,EUN
LVA,2016,EUN
LVA,2017,EUN
LVA,2018,EUN
LVA,2019,EUN
LVA,2020,EUN
LVA,2021,EUN
MLT,2002,MLT
MLT,2003,MLT
MLT,2004,EUN
MLT,2005,EUN
MLT,2006,EUN
MLT,2007,EUN
MLT,2008,EUN
MLT,2009,EUN
MLT,2010,EUN
MLT,2011,EUN
MLT,2012,EUN
MLT,2013,EUN
MLT,2014,EUN
MLT,2015,EUN
MLT,2016,EUN
MLT,2017,EUN
MLT,2018,EUN
MLT,2019,EUN
MLT,2020,EUN
MLT,2021,EUN
NLD,2002,EUN
NLD,2003,EUN
NLD,2004,EUN
NLD,2005,EUN
NLD,2006,EUN
NLD,2007,EUN
NLD,2008,EUN
NLD,2009,EUN
NLD,2010,EUN
NLD,2011,EUN
NLD,2012,EUN
NLD,2013,EUN
NLD,2014,EUN
NLD,2015,EUN
NLD,2016,EUN
NLD,2017,EUN
NLD,2018,EUN
NLD,2019,EUN
NLD,2020,EUN
NLD,2021,EUN
POL,2002,POL
POL,2003,POL
POL,2004,EUN
POL,2005,EUN
POL,2006,EUN
POL,2007,EUN
POL,2008,EUN
POL,2009,EUN
POL,2010,EUN
POL,2011,EUN
POL,2012,EUN
POL,2013,EUN
POL,2014,EUN
POL,2015,EUN
POL,2016,EUN
POL,2017,EUN
POL,2018,EUN
POL,2019,EUN
POL,2020,EUN
POL,2021,EUN
PRT,2002,EUN
PRT,2003,EUN
PRT,2004,EUN
PRT,2005,EUN
PRT,2006,EUN
PRT,2007,EUN
PRT,2008,EUN
PRT,2009,EUN
PRT,2010,EUN
PRT,2011,EUN
PRT,2012,EUN
PRT,2013,EUN
PRT,2014,EUN
PRT,2015,EUN
PRT,2016,EUN
PRT,2017,EUN
PRT,2018,EUN
PRT,2019,EUN
PRT,2020,EUN
PRT,2021,EUN
ROU,2002,ROU
ROU,2003,ROU
ROU,2004,ROU
ROU,2005,ROU
ROU,2006,ROU
ROU,2007,EUN
ROU,2008,EUN
ROU,2009,EUN
ROU,2010,EUN
ROU,2011,EUN
ROU,2012,EUN
ROU,2013,EUN
ROU,2014,EUN
ROU,2015,EUN
ROU,2016,EUN
ROU,2017,EUN
ROU,2018,EUN
ROU,2019,EUN
ROU,2020,EUN
ROU,2021,EUN
SVK,2002,SVK
SVK,2003,SVK
SVK,2004,EUN
SVK,2005,EUN
SVK,2006,EUN
SVK,2007,EUN
SVK,2008,EUN
SVK,2009,EUN
SVK,2010,EUN
SVK,2011,EUN
SVK,2012,EUN
SVK,2013,EUN
SVK,2014,EUN
SVK,2015,EUN
SVK,2016,EUN
SVK,2017,EUN
SVK,2018,EUN
SVK,2019,EUN
SVK,2020,EUN
SVK,2021,EUN
SVN,2002,SVN
SVN,2003,SVN
SVN,2004,EUN
SVN,2005,EUN
SVN,2006,EUN
SVN,2007,EUN
SVN,2008,EUN
SVN,2009,EUN
SVN,2010,EUN
SVN,2011,EUN
SVN,2012,EUN
SVN,2013,EUN
SVN,2014,EUN
SVN,2015,EUN
SVN,2016,EUN
SVN,2017,EUN
SVN,2018,EUN
SVN,2019,EUN
SVN,2020,EUN
SVN,2021,EUN
SWE,2002,EUN
SWE,2003,EUN
SWE,2004,EUN
SWE,2005,EUN
SWE,2006,EUN
SWE,2007,EUN
SWE,2008,EUN
SWE,2009,EUN
SWE,2010,EUN
SWE,2011,EUN
SWE,2012,EUN
SWE,2013,EUN
SWE,2014,EUN
SWE,2015,EUN
SWE,2016,EUN
SWE,2017,EUN
SWE,2018,EUN
SWE,2019,EUN
SWE,2020,EUN
SWE,2021,EUN
